Species 1,Species 2,Mole frac species 1,Mole frac species 2,deltaH,Temp (K)
BaF2,KF,0.47,0.53,-414.28,1200
BaF2,KF,0.46,0.54,-416.88,1200
BaF2,KF,0.45,0.55,-419.13,1200
BaF2,KF,0.44,0.56,-421.02,1200
BaF2,KF,0.43,0.57,-422.53,1200
BaF2,KF,0.42,0.58,-423.66,1200
BaF2,KF,0.41,0.59,-424.38,1200
BaF2,KF,0.4,0.6,-424.69,1200
BaF2,KF,0.39,0.61,-424.57,1200
BaF2,KF,0.38,0.62,-424,1200
BaF2,KF,0.37,0.63,-422.98,1200
BaF2,KF,0.36,0.64,-421.49,1200
BaF2,KF,0.35,0.65,-419.52,1200
BaF2,KF,0.34,0.66,-417.04,1200
BaF2,KF,0.33,0.67,-414.06,1200
BaF2,KF,0.32,0.68,-410.56,1200
BaF2,KF,0.31,0.69,-406.53,1200
BaF2,KF,0.3,0.7,-401.95,1200
BaF2,KF,0.29,0.71,-396.82,1200
BaF2,KF,0.28,0.72,-391.12,1200
BaF2,KF,0.27,0.73,-384.85,1200
BaF2,KF,0.26,0.74,-378,1200
BaF2,KF,0.25,0.75,-370.57,1200
BaF2,KF,0.24,0.76,-362.54,1200
BaF2,KF,0.23,0.77,-353.92,1200
BaF2,KF,0.22,0.78,-344.7,1200
BaF2,KF,0.21,0.79,-334.88,1200
BaF2,KF,0.2,0.8,-324.46,1200
BaF2,KF,0.19,0.81,-313.45,1200
BaF2,KF,0.18,0.82,-301.83,1200
BaF2,KF,0.17,0.83,-289.63,1200
BaF2,KF,0.16,0.84,-276.84,1200
BaF2,KF,0.15,0.85,-263.46,1200
BaF2,KF,0.14,0.86,-249.52,1200
BaF2,KF,0.13,0.87,-235,1200
BaF2,KF,0.12,0.88,-219.94,1200
BaF2,KF,0.11,0.89,-204.32,1200
BaF2,KF,0.1,0.9,-188.17,1200
BaF2,KF,0.09,0.91,-171.5,1200
BaF2,KF,0.08,0.92,-154.32,1200
BaF2,KF,0.07,0.93,-136.63,1200
BaF2,KF,0.06,0.94,-118.47,1200
BaF2,KF,0.05,0.95,-99.82,1200
BaF2,KF,0.04,0.96,-80.72,1200
BaF2,KF,0.03,0.97,-61.18,1200
BaF2,KF,0.02,0.98,-41.2,1200
BaF2,KF,0.01,0.99,-20.8,1200
BaF2,KF,0,1,0,1200
BaF2,LiF,1,0,0,1200
BaF2,LiF,0.99,0.01,-87.79,1200
BaF2,LiF,0.98,0.02,-174.15,1200
BaF2,LiF,0.97,0.03,-259.05,1200
BaF2,LiF,0.96,0.04,-342.49,1200
BaF2,LiF,0.95,0.05,-424.45,1200
BaF2,LiF,0.94,0.06,-504.91,1200
BaF2,LiF,0.93,0.07,-583.85,1200
BaF2,LiF,0.92,0.08,-661.26,1200
BaF2,LiF,0.91,0.09,-737.11,1200
BaF2,LiF,0.9,0.1,-811.4,1200
BaF2,LiF,0.89,0.11,-884.1,1200
BaF2,LiF,0.88,0.12,-955.21,1200
BaF2,LiF,0.87,0.13,-1024.7,1200
BaF2,LiF,0.86,0.14,-1092.55,1200
BaF2,LiF,0.85,0.15,-1158.76,1200
BaF2,LiF,0.84,0.16,-1223.31,1200
BaF2,LiF,0.83,0.17,-1286.17,1200
BaF2,LiF,0.82,0.18,-1347.34,1200
BaF2,LiF,0.81,0.19,-1406.81,1200
BaF2,LiF,0.8,0.2,-1464.54,1200
BaF2,LiF,0.79,0.21,-1520.54,1200
BaF2,LiF,0.78,0.22,-1574.79,1200
BaF2,LiF,0.77,0.23,-1627.26,1200
BaF2,LiF,0.76,0.24,-1677.96,1200
BaF2,LiF,0.75,0.25,-1726.86,1200
BaF2,LiF,0.74,0.26,-1773.96,1200
BaF2,LiF,0.73,0.27,-1819.24,1200
BaF2,LiF,0.72,0.28,-1862.68,1200
BaF2,LiF,0.71,0.29,-1904.28,1200
BaF2,LiF,0.7,0.3,-1944.03,1200
BaF2,LiF,0.69,0.31,-1981.91,1200
BaF2,LiF,0.68,0.32,-2017.92,1200
BaF2,LiF,0.67,0.33,-2052.03,1200
BaF2,LiF,0.66,0.34,-2084.25,1200
BaF2,LiF,0.65,0.35,-2114.57,1200
BaF2,LiF,0.64,0.36,-2142.97,1200
BaF2,LiF,0.63,0.37,-2169.45,1200
BaF2,LiF,0.62,0.38,-2194,1200
BaF2,LiF,0.61,0.39,-2216.61,1200
BaF2,LiF,0.6,0.4,-2237.28,1200
BaF2,LiF,0.59,0.41,-2256,1200
BaF2,LiF,0.58,0.42,-2272.76,1200
BaF2,LiF,0.57,0.43,-2287.56,1200
BaF2,LiF,0.56,0.44,-2300.4,1200
BaF2,LiF,0.55,0.45,-2311.27,1200
BaF2,LiF,0.54,0.46,-2320.17,1200
BaF2,LiF,0.53,0.47,-2327.09,1200
BaF2,LiF,0.52,0.48,-2332.04,1200
BaF2,LiF,0.51,0.49,-2335.01,1200
BaF2,LiF,0.5,0.5,-2336,1200
BaF2,LiF,0.49,0.51,-2335.01,1200
BaF2,LiF,0.48,0.52,-2332.04,1200
BaF2,LiF,0.47,0.53,-2327.09,1200
BaF2,LiF,0.46,0.54,-2320.17,1200
BaF2,LiF,0.45,0.55,-2311.27,1200
BaF2,LiF,0.44,0.56,-2300.4,1200
BaF2,LiF,0.43,0.57,-2287.56,1200
BaF2,LiF,0.42,0.58,-2272.76,1200
BaF2,LiF,0.41,0.59,-2256,1200
BaF2,LiF,0.4,0.6,-2237.28,1200
BaF2,LiF,0.39,0.61,-2216.61,1200
BaF2,LiF,0.38,0.62,-2194,1200
BaF2,LiF,0.37,0.63,-2169.45,1200
BaF2,LiF,0.36,0.64,-2142.97,1200
BaF2,LiF,0.35,0.65,-2114.57,1200
BaF2,LiF,0.34,0.66,-2084.25,1200
BaF2,LiF,0.33,0.67,-2052.03,1200
BaF2,LiF,0.32,0.68,-2017.92,1200
BaF2,LiF,0.31,0.69,-1981.91,1200
BaF2,LiF,0.3,0.7,-1944.03,1200
BaF2,LiF,0.29,0.71,-1904.28,1200
BaF2,LiF,0.28,0.72,-1862.68,1200
BaF2,LiF,0.27,0.73,-1819.24,1200
BaF2,LiF,0.26,0.74,-1773.96,1200
BaF2,LiF,0.25,0.75,-1726.86,1200
BaF2,LiF,0.24,0.76,-1677.96,1200
BaF2,LiF,0.23,0.77,-1627.26,1200
BaF2,LiF,0.22,0.78,-1574.79,1200
BaF2,LiF,0.21,0.79,-1520.54,1200
BaF2,LiF,0.2,0.8,-1464.54,1200
BaF2,LiF,0.19,0.81,-1406.81,1200
BaF2,LiF,0.18,0.82,-1347.34,1200
BaF2,LiF,0.17,0.83,-1286.17,1200
BaF2,LiF,0.16,0.84,-1223.31,1200
BaF2,LiF,0.15,0.85,-1158.76,1200
BaF2,LiF,0.14,0.86,-1092.55,1200
BaF2,LiF,0.13,0.87,-1024.7,1200
BaF2,LiF,0.12,0.88,-955.21,1200
BaF2,LiF,0.11,0.89,-884.1,1200
BaF2,LiF,0.1,0.9,-811.4,1200
BaF2,LiF,0.09,0.91,-737.11,1200
BaF2,LiF,0.08,0.92,-661.26,1200
BaF2,LiF,0.07,0.93,-583.85,1200
BaF2,LiF,0.06,0.94,-504.91,1200
BaF2,LiF,0.05,0.95,-424.45,1200
BaF2,LiF,0.04,0.96,-342.49,1200
BaF2,LiF,0.03,0.97,-259.05,1200
BaF2,LiF,0.02,0.98,-174.15,1200
BaF2,LiF,0.01,0.99,-87.79,1200
BaF2,LiF,0,1,0,1200
BaF2,NaF,1,0,0,1200
BaF2,NaF,0.99,0.01,-54.75,1200
BaF2,NaF,0.98,0.02,-108.58,1200
BaF2,NaF,0.97,0.03,-161.51,1200
BaF2,NaF,0.96,0.04,-213.51,1200
BaF2,NaF,0.95,0.05,-264.59,1200
BaF2,NaF,0.94,0.06,-314.74,1200
BaF2,NaF,0.93,0.07,-363.97,1200
BaF2,NaF,0.92,0.08,-412.26,1200
BaF2,NaF,0.91,0.09,-459.61,1200
BaF2,NaF,0.9,0.1,-506.02,1200
BaF2,NaF,0.89,0.11,-551.48,1200
BaF2,NaF,0.88,0.12,-596,1200
BaF2,NaF,0.87,0.13,-639.56,1200
BaF2,NaF,0.86,0.14,-682.17,1200
BaF2,NaF,0.85,0.15,-723.82,1200
BaF2,NaF,0.84,0.16,-764.51,1200
BaF2,NaF,0.83,0.17,-804.23,1200
BaF2,NaF,0.82,0.18,-842.99,1200
BaF2,NaF,0.81,0.19,-880.78,1200
BaF2,NaF,0.8,0.2,-917.59,1200
BaF2,NaF,0.79,0.21,-953.43,1200
BaF2,NaF,0.78,0.22,-988.3,1200
BaF2,NaF,0.77,0.23,-1022.18,1200
BaF2,NaF,0.76,0.24,-1055.08,1200
BaF2,NaF,0.75,0.25,-1087,1200
BaF2,NaF,0.74,0.26,-1117.92,1200
BaF2,NaF,0.73,0.27,-1147.86,1200
BaF2,NaF,0.72,0.28,-1176.8,1200
BaF2,NaF,0.71,0.29,-1204.75,1200
BaF2,NaF,0.7,0.3,-1231.69,1200
BaF2,NaF,0.69,0.31,-1257.64,1200
BaF2,NaF,0.68,0.32,-1282.57,1200
BaF2,NaF,0.67,0.33,-1306.5,1200
BaF2,NaF,0.66,0.34,-1329.41,1200
BaF2,NaF,0.65,0.35,-1351.3,1200
BaF2,NaF,0.64,0.36,-1372.16,1200
BaF2,NaF,0.63,0.37,-1392,1200
BaF2,NaF,0.62,0.38,-1410.8,1200
BaF2,NaF,0.61,0.39,-1428.55,1200
BaF2,NaF,0.6,0.4,-1445.25,1200
BaF2,NaF,0.59,0.41,-1460.89,1200
BaF2,NaF,0.58,0.42,-1475.46,1200
BaF2,NaF,0.57,0.43,-1488.95,1200
BaF2,NaF,0.56,0.44,-1501.34,1200
BaF2,NaF,0.55,0.45,-1512.63,1200
BaF2,NaF,0.54,0.46,-1522.8,1200
BaF2,NaF,0.53,0.47,-1531.84,1200
BaF2,NaF,0.52,0.48,-1539.72,1200
BaF2,NaF,0.51,0.49,-1546.43,1200
BaF2,NaF,0.5,0.5,-1551.95,1200
BaF2,NaF,0.49,0.51,-1556.26,1200
BaF2,NaF,0.48,0.52,-1559.34,1200
BaF2,NaF,0.47,0.53,-1561.16,1200
BaF2,NaF,0.46,0.54,-1561.7,1200
BaF2,NaF,0.45,0.55,-1560.93,1200
BaF2,NaF,0.44,0.56,-1558.82,1200
BaF2,NaF,0.43,0.57,-1555.34,1200
BaF2,NaF,0.42,0.58,-1550.47,1200
BaF2,NaF,0.41,0.59,-1544.17,1200
BaF2,NaF,0.4,0.6,-1536.41,1200
BaF2,NaF,0.39,0.61,-1527.16,1200
BaF2,NaF,0.38,0.62,-1516.39,1200
BaF2,NaF,0.37,0.63,-1504.07,1200
BaF2,NaF,0.36,0.64,-1490.17,1200
BaF2,NaF,0.35,0.65,-1474.66,1200
BaF2,NaF,0.34,0.66,-1457.53,1200
BaF2,NaF,0.33,0.67,-1438.73,1200
BaF2,NaF,0.32,0.68,-1418.26,1200
BaF2,NaF,0.31,0.69,-1396.11,1200
BaF2,NaF,0.3,0.7,-1372.25,1200
BaF2,NaF,0.29,0.71,-1346.68,1200
BaF2,NaF,0.28,0.72,-1319.4,1200
BaF2,NaF,0.27,0.73,-1290.42,1200
BaF2,NaF,0.26,0.74,-1259.74,1200
BaF2,NaF,0.25,0.75,-1227.37,1200
BaF2,NaF,0.24,0.76,-1193.34,1200
BaF2,NaF,0.23,0.77,-1157.67,1200
BaF2,NaF,0.22,0.78,-1120.4,1200
BaF2,NaF,0.21,0.79,-1081.56,1200
BaF2,NaF,0.2,0.8,-1041.2,1200
BaF2,NaF,0.19,0.81,-999.35,1200
BaF2,NaF,0.18,0.82,-956.07,1200
BaF2,NaF,0.17,0.83,-911.42,1200
BaF2,NaF,0.16,0.84,-865.44,1200
BaF2,NaF,0.15,0.85,-818.21,1200
BaF2,NaF,0.14,0.86,-769.77,1200
BaF2,NaF,0.13,0.87,-720.2,1200
BaF2,NaF,0.12,0.88,-669.55,1200
BaF2,NaF,0.11,0.89,-617.89,1200
BaF2,NaF,0.1,0.9,-565.28,1200
BaF2,NaF,0.09,0.91,-511.78,1200
BaF2,NaF,0.08,0.92,-457.46,1200
BaF2,NaF,0.07,0.93,-402.37,1200
BaF2,NaF,0.06,0.94,-346.58,1200
BaF2,NaF,0.05,0.95,-290.13,1200
BaF2,NaF,0.04,0.96,-233.09,1200
BaF2,NaF,0.03,0.97,-175.51,1200
BaF2,NaF,0.02,0.98,-117.43,1200
BaF2,NaF,0.01,0.99,-58.92,1200
BaF2,NaF,0,1,0,1200
BaF2,UF4,1,0,0,1200
BaF2,UF4,0.99,0.01,0.63,1200
BaF2,UF4,0.98,0.02,0.88,1200
BaF2,UF4,0.97,0.03,1.08,1200
BaF2,UF4,0.96,0.04,1.24,1200
BaF2,UF4,0.95,0.05,1.39,1200
BaF2,UF4,0.94,0.06,1.51,1200
BaF2,UF4,0.93,0.07,1.63,1200
BaF2,UF4,0.92,0.08,1.74,1200
BaF2,UF4,0.91,0.09,1.84,1200
BaF2,UF4,0.9,0.1,1.93,1200
BaF2,UF4,0.89,0.11,2.02,1200
BaF2,UF4,0.88,0.12,2.11,1200
BaF2,UF4,0.87,0.13,2.19,1200
BaF2,UF4,0.86,0.14,2.26,1200
BaF2,UF4,0.85,0.15,2.34,1200
BaF2,UF4,0.84,0.16,2.41,1200
BaF2,UF4,0.83,0.17,2.48,1200
BaF2,UF4,0.82,0.18,2.54,1200
BaF2,UF4,0.81,0.19,2.6,1200
BaF2,UF4,0.8,0.2,2.66,1200
BaF2,UF4,0.79,0.21,2.72,1200
BaF2,UF4,0.78,0.22,2.78,1200
BaF2,UF4,0.77,0.23,2.83,1200
BaF2,UF4,0.76,0.24,2.88,1200
BaF2,UF4,0.75,0.25,2.94,1200
BaF2,UF4,0.74,0.26,2.99,1200
BaF2,UF4,0.73,0.27,3.03,1200
BaF2,UF4,0.72,0.28,3.08,1200
BaF2,UF4,0.71,0.29,3.13,1200
BaF2,UF4,0.7,0.3,3.17,1200
BaF2,UF4,0.69,0.31,3.21,1200
BaF2,UF4,0.68,0.32,3.25,1200
BaF2,UF4,0.67,0.33,3.29,1200
BaF2,UF4,0.66,0.34,3.33,1200
BaF2,UF4,0.65,0.35,3.37,1200
BaF2,UF4,0.64,0.36,3.41,1200
BaF2,UF4,0.63,0.37,3.45,1200
BaF2,UF4,0.62,0.38,3.48,1200
BaF2,UF4,0.61,0.39,3.52,1200
BaF2,UF4,0.6,0.4,3.55,1200
BaF2,UF4,0.59,0.41,3.58,1200
BaF2,UF4,0.58,0.42,3.62,1200
BaF2,UF4,0.57,0.43,3.65,1200
BaF2,UF4,0.56,0.44,3.68,1200
BaF2,UF4,0.55,0.45,3.71,1200
BaF2,UF4,0.54,0.46,3.74,1200
BaF2,UF4,0.53,0.47,3.76,1200
BaF2,UF4,0.52,0.48,3.79,1200
BaF2,UF4,0.51,0.49,3.82,1200
BaF2,UF4,0.5,0.5,3.84,1200
BaF2,UF4,0.49,0.51,3.87,1200
BaF2,UF4,0.48,0.52,3.89,1200
BaF2,UF4,0.47,0.53,3.92,1200
BaF2,UF4,0.46,0.54,3.94,1200
BaF2,UF4,0.45,0.55,3.96,1200
BaF2,UF4,0.44,0.56,3.99,1200
BaF2,UF4,0.43,0.57,4.01,1200
BaF2,UF4,0.42,0.58,4.03,1200
BaF2,UF4,0.41,0.59,4.05,1200
BaF2,UF4,0.4,0.6,4.07,1200
BaF2,UF4,0.39,0.61,4.09,1200
BaF2,UF4,0.38,0.62,4.11,1200
BaF2,UF4,0.37,0.63,4.12,1200
BaF2,UF4,0.36,0.64,4.14,1200
BaF2,UF4,0.35,0.65,4.16,1200
BaF2,UF4,0.34,0.66,4.17,1200
BaF2,UF4,0.33,0.67,4.19,1200
BaF2,UF4,0.32,0.68,4.2,1200
BaF2,UF4,0.31,0.69,4.22,1200
BaF2,UF4,0.3,0.7,4.23,1200
BaF2,UF4,0.29,0.71,4.25,1200
BaF2,UF4,0.28,0.72,4.26,1200
BaF2,UF4,0.27,0.73,4.27,1200
BaF2,UF4,0.26,0.74,4.29,1200
BaF2,UF4,0.25,0.75,4.3,1200
BaF2,UF4,0.24,0.76,4.31,1200
BaF2,UF4,0.23,0.77,4.32,1200
BaF2,UF4,0.22,0.78,4.33,1200
BaF2,UF4,0.21,0.79,4.34,1200
BaF2,UF4,0.2,0.8,4.35,1200
BaF2,UF4,0.19,0.81,4.36,1200
BaF2,UF4,0.18,0.82,4.37,1200
BaF2,UF4,0.17,0.83,4.37,1200
BaF2,UF4,0.16,0.84,4.38,1200
BaF2,UF4,0.15,0.85,4.39,1200
BaF2,UF4,0.14,0.86,4.39,1200
BaF2,UF4,0.13,0.87,4.4,1200
BaF2,UF4,0.12,0.88,4.41,1200
BaF2,UF4,0.11,0.89,4.41,1200
BaF2,UF4,0.1,0.9,4.42,1200
BaF2,UF4,0.09,0.91,4.42,1200
BaF2,UF4,0.08,0.92,4.42,1200
BaF2,UF4,0.07,0.93,4.43,1200
BaF2,UF4,0.06,0.94,4.43,1200
BaF2,UF4,0.05,0.95,4.43,1200
BaF2,UF4,0.04,0.96,4.43,1200
BaF2,UF4,0.03,0.97,4.44,1200
BaF2,UF4,0.02,0.98,4.44,1200
BaF2,UF4,0.01,0.99,4.44,1200
BaF2,UF4,0,1,4.44,1200
BeF2,CeF3,1,0,-12.88,1200
BeF2,CeF3,0.99,0.01,-140.65,1200
BeF2,CeF3,0.98,0.02,-264.14,1200
BeF2,CeF3,0.97,0.03,-383.27,1200
BeF2,CeF3,0.96,0.04,-497.99,1200
BeF2,CeF3,0.95,0.05,-608.23,1200
BeF2,CeF3,0.94,0.06,-713.96,1200
BeF2,CeF3,0.93,0.07,-815.16,1200
BeF2,CeF3,0.92,0.08,-911.83,1200
BeF2,CeF3,0.91,0.09,-1003.96,1200
BeF2,CeF3,0.9,0.1,-1091.59,1200
BeF2,CeF3,0.89,0.11,-1174.74,1200
BeF2,CeF3,0.88,0.12,-1253.48,1200
BeF2,CeF3,0.87,0.13,-1327.86,1200
BeF2,CeF3,0.86,0.14,-1397.95,1200
BeF2,CeF3,0.85,0.15,-1463.85,1200
BeF2,CeF3,0.84,0.16,-1525.65,1200
BeF2,CeF3,0.83,0.17,-1583.45,1200
BeF2,CeF3,0.82,0.18,-1637.36,1200
BeF2,CeF3,0.81,0.19,-1687.5,1200
BeF2,CeF3,0.8,0.2,-1733.99,1200
BeF2,CeF3,0.79,0.21,-1776.95,1200
BeF2,CeF3,0.78,0.22,-1816.5,1200
BeF2,CeF3,0.77,0.23,-1852.78,1200
BeF2,CeF3,0.76,0.24,-1885.91,1200
BeF2,CeF3,0.75,0.25,-1916.01,1200
BeF2,CeF3,0.74,0.26,-1943.21,1200
BeF2,CeF3,0.73,0.27,-1967.63,1200
BeF2,CeF3,0.72,0.28,-1989.39,1200
BeF2,CeF3,0.71,0.29,-2008.6,1200
BeF2,CeF3,0.7,0.3,-2025.38,1200
BeF2,CeF3,0.69,0.31,-2039.83,1200
BeF2,CeF3,0.68,0.32,-2052.06,1200
BeF2,CeF3,0.67,0.33,-2062.17,1200
BeF2,CeF3,0.66,0.34,-2070.26,1200
BeF2,CeF3,0.65,0.35,-2076.41,1200
BeF2,CeF3,0.64,0.36,-2080.7,1200
BeF2,CeF3,0.63,0.37,-2083.23,1200
BeF2,CeF3,0.62,0.38,-2084.06,1200
BeF2,CeF3,0.61,0.39,-2083.27,1200
BeF2,CeF3,0.6,0.4,-2080.92,1200
BeF2,CeF3,0.59,0.41,-2077.08,1200
BeF2,CeF3,0.58,0.42,-2071.81,1200
BeF2,CeF3,0.57,0.43,-2065.15,1200
BeF2,CeF3,0.56,0.44,-2057.15,1200
BeF2,CeF3,0.55,0.45,-2047.87,1200
BeF2,CeF3,0.54,0.46,-2037.34,1200
BeF2,CeF3,0.53,0.47,-2025.59,1200
BeF2,CeF3,0.52,0.48,-2012.67,1200
BeF2,CeF3,0.51,0.49,-1998.6,1200
BeF2,CeF3,0.5,0.5,-1983.4,1200
BeF2,CeF3,0.49,0.51,-1967.09,1200
BeF2,CeF3,0.48,0.52,-1949.7,1200
BeF2,CeF3,0.47,0.53,-1931.25,1200
BeF2,CeF3,0.46,0.54,-1911.74,1200
BeF2,CeF3,0.45,0.55,-1891.18,1200
BeF2,CeF3,0.44,0.56,-1869.58,1200
BeF2,CeF3,0.43,0.57,-1846.96,1200
BeF2,CeF3,0.42,0.58,-1823.3,1200
BeF2,CeF3,0.41,0.59,-1798.62,1200
BeF2,CeF3,0.4,0.6,-1772.91,1200
BeF2,CeF3,0.39,0.61,-1746.18,1200
BeF2,CeF3,0.38,0.62,-1718.41,1200
BeF2,CeF3,0.37,0.63,-1689.62,1200
BeF2,CeF3,0.36,0.64,-1659.79,1200
BeF2,CeF3,0.35,0.65,-1628.92,1200
BeF2,CeF3,0.34,0.66,-1597.02,1200
BeF2,CeF3,0.33,0.67,-1564.07,1200
BeF2,CeF3,0.32,0.68,-1530.09,1200
BeF2,CeF3,0.31,0.69,-1495.06,1200
BeF2,CeF3,0.3,0.7,-1458.99,1200
BeF2,CeF3,0.29,0.71,-1421.89,1200
BeF2,CeF3,0.28,0.72,-1383.76,1200
BeF2,CeF3,0.27,0.73,-1344.6,1200
BeF2,CeF3,0.26,0.74,-1304.44,1200
BeF2,CeF3,0.25,0.75,-1263.27,1200
BeF2,CeF3,0.24,0.76,-1221.12,1200
BeF2,CeF3,0.23,0.77,-1178.01,1200
BeF2,CeF3,0.22,0.78,-1133.95,1200
BeF2,CeF3,0.21,0.79,-1088.96,1200
BeF2,CeF3,0.2,0.8,-1043.08,1200
BeF2,CeF3,0.19,0.81,-996.34,1200
BeF2,CeF3,0.18,0.82,-948.76,1200
BeF2,CeF3,0.17,0.83,-900.38,1200
BeF2,CeF3,0.16,0.84,-851.24,1200
BeF2,CeF3,0.15,0.85,-801.37,1200
BeF2,CeF3,0.14,0.86,-750.82,1200
BeF2,CeF3,0.13,0.87,-699.63,1200
BeF2,CeF3,0.12,0.88,-647.85,1200
BeF2,CeF3,0.11,0.89,-595.52,1200
BeF2,CeF3,0.1,0.9,-542.69,1200
BeF2,CeF3,0.09,0.91,-489.42,1200
BeF2,CeF3,0.08,0.92,-435.77,1200
BeF2,CeF3,0.07,0.93,-381.78,1200
BeF2,CeF3,0.06,0.94,-327.52,1200
BeF2,CeF3,0.05,0.95,-273.05,1200
BeF2,CeF3,0.04,0.96,-218.44,1200
BeF2,CeF3,0.03,0.97,-163.75,1200
BeF2,CeF3,0.02,0.98,-109.06,1200
BeF2,CeF3,0.01,0.99,-54.45,1200
BeF2,CeF3,0,1,0,1200
BeF2,CsF,1,0,-12.88,1200
BeF2,CsF,0.99,0.01,-792.27,1200
BeF2,CsF,0.98,0.02,-1591.95,1200
BeF2,CsF,0.97,0.03,-2410.26,1200
BeF2,CsF,0.96,0.04,-3245.55,1200
BeF2,CsF,0.95,0.05,-4096.23,1200
BeF2,CsF,0.94,0.06,-4960.75,1200
BeF2,CsF,0.93,0.07,-5837.6,1200
BeF2,CsF,0.92,0.08,-6725.31,1200
BeF2,CsF,0.91,0.09,-7622.46,1200
BeF2,CsF,0.9,0.1,-8527.64,1200
BeF2,CsF,0.89,0.11,-9439.52,1200
BeF2,CsF,0.88,0.12,-10356.78,1200
BeF2,CsF,0.87,0.13,-11278.14,1200
BeF2,CsF,0.86,0.14,-12202.38,1200
BeF2,CsF,0.85,0.15,-13128.28,1200
BeF2,CsF,0.84,0.16,-14054.7,1200
BeF2,CsF,0.83,0.17,-14980.49,1200
BeF2,CsF,0.82,0.18,-15904.56,1200
BeF2,CsF,0.81,0.19,-16825.85,1200
BeF2,CsF,0.8,0.2,-17743.34,1200
BeF2,CsF,0.79,0.21,-18656.01,1200
BeF2,CsF,0.78,0.22,-19562.9,1200
BeF2,CsF,0.77,0.23,-20463.07,1200
BeF2,CsF,0.76,0.24,-21355.6,1200
BeF2,CsF,0.75,0.25,-22239.61,1200
BeF2,CsF,0.74,0.26,-23114.23,1200
BeF2,CsF,0.73,0.27,-23978.63,1200
BeF2,CsF,0.72,0.28,-24832,1200
BeF2,CsF,0.71,0.29,-25673.54,1200
BeF2,CsF,0.7,0.3,-26502.5,1200
BeF2,CsF,0.69,0.31,-27318.13,1200
BeF2,CsF,0.68,0.32,-28119.71,1200
BeF2,CsF,0.67,0.33,-28906.56,1200
BeF2,CsF,0.66,0.34,-29677.99,1200
BeF2,CsF,0.65,0.35,-30433.35,1200
BeF2,CsF,0.64,0.36,-31172,1200
BeF2,CsF,0.63,0.37,-31893.31,1200
BeF2,CsF,0.62,0.38,-32596.66,1200
BeF2,CsF,0.61,0.39,-33281.4,1200
BeF2,CsF,0.6,0.4,-33946.84,1200
BeF2,CsF,0.59,0.41,-34592.25,1200
BeF2,CsF,0.58,0.42,-35216.79,1200
BeF2,CsF,0.57,0.43,-35819.43,1200
BeF2,CsF,0.56,0.44,-36398.95,1200
BeF2,CsF,0.55,0.45,-36953.77,1200
BeF2,CsF,0.54,0.46,-37481.85,1200
BeF2,CsF,0.53,0.47,-37980.54,1200
BeF2,CsF,0.52,0.48,-38446.34,1200
