Species 1,Species 2,Mole frac species 1,Mole frac species 2,Temp (K),Author,type,Link
KCl,ZrCl4,0.35,0.65,577.5,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.35,0.65,546.3,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.35,0.65,507.5,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.34,0.66,507.5,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.33,0.67,507.2,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.34,0.66,515.2,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.34,0.66,540.8,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.34,0.66,540.6,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.35,0.65,546.1,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.33,0.67,568.9,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.33,0.67,578.8,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.33,0.67,578.6,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.33,0.67,579.1,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.31,0.69,631.4,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.3,0.7,631.2,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.3,0.7,638.6,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.3,0.7,639.7,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.29,0.71,647.7,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.29,0.71,648,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0,1,709.2,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.999638273,0.000361727,1052.098302,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.898783198,0.101216802,1002.167625,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.846463431,0.153536569,968.6797047,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.798192579,0.201807421,909.9474664,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.747541621,0.252458379,920.7094481,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.696343513,0.303656487,1018.966908,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.663493193,0.336506807,1060.987103,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.648507342,0.351492658,1046.279929,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.598771343,0.401228657,988.5078048,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.54884384,0.45115616,883.5813206,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.527650869,0.472349131,850.3506287,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.90152807,0.09847193,874.3430861,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.849001602,0.150998398,873.9090132,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.79940239,0.20059761,872.0407975,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.748313712,0.251686288,875.0213841,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.698276779,0.301723221,865.3717734,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.599725817,0.400274183,835.8768036,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.54962505,0.45037495,836.4349987,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.527301301,0.472698699,828.4727399,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.500588187,0.499411813,822.4186524,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.474917699,0.525082301,805.1926254,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.449809561,0.550190439,775.8184679,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.428099837,0.571900163,747.4446167,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.404994878,0.595005122,708.8509021,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.350930308,0.649069692,487.7096741,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.300407019,0.699592981,633.6115997,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.247676889,0.752323111,665.7452882,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.000367807,0.999632193,702.1043312,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.651054633,0.348945367,483.3843126,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.600953866,0.399046134,483.9425076,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.554272791,0.445727209,482.0984071,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.526061092,0.473938908,482.3513798,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.501718965,0.498281035,486.0391081,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.477884472,0.522115528,486.3282536,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.452104554,0.547895446,486.6013223,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.429716971,0.570283029,488.8468694,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.403927934,0.596072066,490.5781961,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.300832581,0.699167419,487.7817831,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.252242558,0.747757442,480.0885739,Kellogg et al. (1955),,osti.gov/biblio/4351392
KCl,ZrCl4,0.67,0.33,1073,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.68,0.32,1058.4,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.69,0.31,1046.1,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.7,0.3,1039,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.72,0.28,1007,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.73,0.27,982,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.74,0.26,973.4,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.75,0.25,967,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.77,0.23,889.9,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.79,0.21,895.8,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.82,0.18,937.4,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.83,0.17,950.3,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.87,0.13,982.3,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.89,0.11,999.1,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.93,0.07,1022.9,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.7,0.3,865.9,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.72,0.28,867.3,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.77,0.23,866.8,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.79,0.21,867.5,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.82,0.18,867,Lister and Flengas (1965),,doi.org/10.1139/v65-410
KCl,ZrCl4,0.83,0.17,869.7,Lister and Flengas (1965),,doi.org/10.1139/v65-410
NaCl,ZrCl4,1,0,1074.7,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.9,0.1,1039.3,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.85,0.15,1007.7,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.8,0.2,962.9,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.75,0.25,891,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.72,0.28,797.4,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.7,0.3,845.4,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.67,0.33,897.4,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.62,0.38,847.2,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.59,0.41,824.8,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.57,0.43,774.5,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.55,0.45,720.4,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.52,0.48,644.6,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.5,0.5,641.5,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.47,0.53,633.8,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.45,0.55,625.4,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.42,0.58,613,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.4,0.6,593,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.37,0.63,586.1,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.35,0.65,593.1,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.3,0.7,638.9,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.25,0.75,667.6,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0,1,712.4,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.9,0.1,805.5,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.85,0.15,801,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.8,0.2,806.5,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.75,0.25,808.2,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.69,0.31,795.1,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.9,0.1,714.9,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.85,0.15,716.6,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.8,0.2,716.7,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.75,0.25,717.6,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.72,0.28,716.9,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.7,0.3,718.5,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.66,0.34,707.7,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.9,0.1,639,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.85,0.15,640.7,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.8,0.2,641.6,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.75,0.25,642.5,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.72,0.28,641,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.7,0.3,642.6,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.67,0.33,642.7,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.9,0.1,615.8,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.75,0.25,602.2,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.72,0.28,606.2,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.7,0.3,603.9,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.66,0.34,601.6,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.62,0.38,674.5,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.57,0.43,674.6,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.62,0.38,642,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.59,0.41,649.8,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.59,0.41,641.3,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.57,0.43,642.9,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.55,0.45,643,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.62,0.38,621.1,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.59,0.41,622.7,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.57,0.43,622,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.55,0.45,622,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.52,0.48,622.1,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.59,0.41,577.8,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.57,0.43,577.9,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.55,0.45,577.9,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.53,0.47,577.2,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.5,0.5,583.5,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.48,0.52,578.1,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.45,0.55,585.9,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.43,0.57,584.4,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.3,0.7,587,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,0.25,0.75,591,Barton et al. (1959),,digital.library.unt.edu/ark:/67531/metadc1016322/m2/1/high_res_d/4234144.pdf
NaCl,ZrCl4,1,0,1073.4,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.73,0.27,837,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.73,0.27,821.4,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.7,0.3,823.3,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.7,0.3,876.5,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.67,0.33,914.9,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.53,0.47,739.7,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.54,0.46,656.3,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.58,0.42,656.3,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.6,0.4,656.3,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.62,0.38,657.8,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.47,0.53,637.5,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.42,0.58,613.5,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.47,0.53,587.9,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.42,0.58,588.6,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.39,0.61,588.6,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.38,0.62,587.6,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.34,0.66,590.9,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.35,0.65,593.8,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.34,0.66,607.2,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0.29,0.71,624.5,Howell et al. (1957),,doi.org/10.1007/BF03398479
NaCl,ZrCl4,0,1,710.2,Howell et al. (1957),,doi.org/10.1007/BF03398479
BaF2,UF4,1,0,1633.2,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.9,0.1,1627.7,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.8,0.2,1583.8,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.75,0.25,1553,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.7,0.3,1499.6,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.6,0.4,1365.4,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.55,0.45,1273.3,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.5,0.5,1184.4,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.45,0.55,1124.6,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.4,0.6,1042.2,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.36,0.64,961.4,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.35,0.65,1006.5,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.3,0.7,1072.5,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.2,0.8,1159.3,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.1,0.9,1220.2,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0,1,1276.4,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.7,0.3,1185.1,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.6,0.4,1189.6,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.45,0.55,958.5,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.4,0.6,958.3,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.35,0.65,963,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.3,0.7,964.4,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.2,0.8,965.7,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.1,0.9,965.4,Recker and Wallrafen (1974),,doi.org/10.1007/978-3-322-88070-3
BaF2,UF4,0.74,0.26,763,Mukherjee et al. (2017),,doi.org/10.1007/s10967-017-5366-z
